School_Name	School_Year	Reported_enrollment	Percent_complete_for_all_immunizations	Percent_conditional	Percent_out_of_compliance	Percent_with_any_exemption	Percent_with_medical_exemption	Percent_with_personal_exemption	Percent_with_religious_exemption	Percent_with_religious_membership_exemption	Percent_complete_for_diphtheria_tetanus	Percent_complete_for_pertussis	Percent_complete_for_measles_mumps_rubella	Percent_complete_for_polio	Percent_complete_for_HepatitisB	Percent_complete_for_varicella	Number_complete_for_all_immunizations	Number_conditional	Number_out_of_compliance	Number_with_any_exemption	Number_with_medical_exemption	Number_with_personal_exemption	Number_with_religious_exemption	Number_with_religious_membership_exemption	Number_incomplete_for_diphtheria_tetanus	Number_incomplete_for_pertussis	Number_incomplete_for_measles_mumps_rubella	Number_incomplete_for_polio	Number_incomplete_for_HepatitisB	Number_incomplete_for_varicella	Reported	School_Type	School_District	Address	City	County	ESD	Grade_Levels	Has_kindergarten	Has_6thGrade
LEWIS & CLARK MIDDLE SCHOOL	2015-16	296	94.3%	0.7%	2.4%	2.7%	2.7%	0%	0%	0%	95.3%	95.6%	99.7%	100%	99.7%	99.3%	279	2	7	8	8	0	0	0	14	13	1	0	1	2	Y	PUBLIC SCHOOL	YAKIMA SCHOOL DISTRICT	1114 W PIERCE ST	YAKIMA	YAKIMA	EDUCATIONAL SERVICE DISTRICT 105	6-8	N	Y
LEWIS COUNTY ADVENTIST SCHOOL	2015-16	1	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	CHEHALIS SCHOOL DISTRICT	2104 SCHEUBER RD S	CHEHALIS	LEWIS	EDUCATIONAL SERVICE DISTRICT 113	P-10	Y	Y
LEWIS RIVER ACADEMY	2015-16	10	40%	0%	30%	30%	0%	30%	0%	0%	40%	50%	70%	70%	70%	70%	4	0	3	3	0	3	0	0	6	5	3	3	3	3	Y	PUBLIC SCHOOL	WOODLAND SCHOOL DISTRICT	800 THIRD STREET	WOODLAND	COWLITZ	EDUCATIONAL SERVICE DISTRICT 112	K-12	Y	Y
LIBBY CENTER	2015-16	73	91.8%	2.7%	0%	5.5%	1.4%	4.1%	0%	0%	94.5%	94.5%	97.3%	95.9%	95.9%	95.9%	67	2	0	4	1	3	0	0	4	4	2	3	3	3	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	2900 E 1ST AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	5-8	N	Y
LIBERTY CHRISTIAN SCHOOL	2015-16																														N	PRIVATE SCHOOL	COLLEGE PLACE SCHOOL DISTRICT	3172 PEPPERS BRIDGE RD	WALLA WALLA	WALLA WALLA	EDUCATIONAL SERVICE DISTRICT 123	P-8	Y	Y
LIBERTY CHRISTIAN SCHOOL	2015-16	28	89.3%	7.1%	0%	3.6%	0%	3.6%	0%	0%	92.9%	100%	100%	100%	96.4%	100%	25	2	0	1	0	1	0	0	2	0	0	0	1	0	Y	PRIVATE SCHOOL	RICHLAND SCHOOL DISTRICT	2200 WILLIAMS BLVD	RICHLAND	BENTON	EDUCATIONAL SERVICE DISTRICT 123	P-12	Y	Y
LIBERTY JR HIGH AND ELEMENTARY	2015-16	41	85.4%	0%	12.2%	2.4%	0%	2.4%	0%	0%	85.4%	85.4%	97.6%	97.6%	97.6%	97.6%	35	0	5	1	0	1	0	0	6	6	1	1	1	1	Y	PUBLIC SCHOOL	LIBERTY SCHOOL DISTRICT	29818 S NORTH PINE CREEK RD	SPANGLE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-8	Y	Y
LIBERTY MIDDLE SCHOOL	2015-16	265	89.4%	0.4%	0.4%	9.8%	1.5%	7.9%	0.4%	0%	94.3%	94.7%	94.3%	95.1%	95.5%	94.3%	237	1	1	26	4	21	1	0	15	14	15	13	12	15	Y	PUBLIC SCHOOL	CAMAS SCHOOL DISTRICT	1612 NE GARFIELD ST	CAMAS	CLARK	EDUCATIONAL SERVICE DISTRICT 112	6-8	N	Y
LIDGERWOOD ELEMENTARY	2015-16	39	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	39	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	5510 N LIDGERWOOD	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
LIFE CHRISTIAN ACADEMY	2015-16	37	81.1%	5.4%	0%	13.5%	5.4%	8.1%	0%	0%	83.8%	83.8%	91.9%	86.5%	91.9%	89.2%	30	2	0	5	2	3	0	0	6	6	3	5	3	4	Y	PRIVATE SCHOOL	TACOMA SCHOOL DISTRICT	1717 S UNION AVE	TACOMA	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-12	Y	Y
LIGHT OF FAITH CHRISTIAN ACADEMY	2015-16	2	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	EVERETT SCHOOL DISTRICT	18008 BOTHELL-EVERETT HWY #H	BOTHELL	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-12	Y	Y
LIGHTHOUSE CHRISTIAN SCHOOL	2015-16	39	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	39	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PRIVATE SCHOOL	PENINSULA SCHOOL DISTRICT	3008 36TH ST NW	GIG HARBOR	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K-8	Y	Y
LINCOLN ACADEMY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	STANWOOD-CAMANO SCHOOL DISTRICT	7600 272ND ST NW	STANWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
LINCOLN ELEMENTARY SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	MOUNT VERNON SCHOOL DISTRICT	1005 S 11TH ST	MOUNT VERNON	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
LINCOLN HEIGHTS ELEMENTARY	2015-16	67	91%	1.5%	0%	7.5%	1.5%	7.5%	0%	0%	94%	94%	97%	95.5%	94%	95.5%	61	1	0	5	1	5	0	0	4	4	2	3	4	3	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	3322 E 22ND AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
LINCOLN MIDDLE SCHOOL	2015-16	200	83.5%	0%	13.5%	3%	1.5%	1.5%	0%	0%	87.5%	88%	98.5%	98%	97%	97%	167	0	27	6	3	3	0	0	25	24	3	4	6	6	Y	PUBLIC SCHOOL	PULLMAN SCHOOL DISTRICT	315 SE CRESTVIEW	PULLMAN	WHITMAN	EDUCATIONAL SERVICE DISTRICT 101	6-8	N	Y
LIND ELEMENTARY SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	LIND SCHOOL DISTRICT	PO BOX 340	LIND	ADAMS	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
LIND-RITZVILLE MIDDLE SCHOOL	2015-16	16	68.8%	0%	25%	6.3%	0%	6.3%	0%	0%	68.8%	68.8%	93.8%	93.8%	100%	93.8%	11	0	4	1	0	1	0	0	5	5	1	1	0	1	Y	PUBLIC SCHOOL	LIND SCHOOL DISTRICT	401 E 6TH AVE.	RITZVILLE	ADAMS	EDUCATIONAL SERVICE DISTRICT 101	6-8	N	Y
LINWOOD ELEMENTARY	2015-16	50	88%	4%	0%	8%	2%	4%	2%	0%	98%	98%	96%	96%	98%	90%	44	2	0	4	1	2	1	0	1	1	2	2	1	5	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	906 W WEILE AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
LITTLE CEDARS ELEMENTARY SCHOOL	2015-16	114	35.1%	0%	59.6%	5.3%	0.9%	4.4%	0%	0%	36%	37.7%	93%	93%	92.1%	92.1%	40	0	68	6	1	5	0	0	73	71	8	8	9	9	Y	PUBLIC SCHOOL	SNOHOMISH SCHOOL DISTRICT	1601 AVENUE D	SNOHOMISH	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
LITTLE MOUNTAIN ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	MOUNT VERNON SCHOOL DISTRICT	1514 S LAVENTURE RD	MOUNT VERNON	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
LITTLE OAK MONTESSORI SCHOOL--2ND LOCATION	2015-16																														N	PRIVATE SCHOOL	WHITE SALMON VALLEY SCHOOL DISTRICT	871 NE ESTES	WHITE SALMON	KITTITAS	EDUCATIONAL SERVICE DISTRICT 112	1-6	N	Y
LITTLEROCK ELEMENTARY SCHOOL	2015-16	52	63.5%	0%	23.1%	13.5%	1.9%	11.5%	0%	0%	73.1%	73.1%	90.4%	94.2%	90.4%	86.5%	33	0	12	7	1	6	0	0	14	14	5	3	5	7	Y	PUBLIC SCHOOL	TUMWATER SCHOOL DISTRICT	BOX C	LITTLEROCK	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	K -6	Y	Y
LIVING WISDOM SCHOOL OF SEATTLE	2015-16	3	0%	0%	0%	100%	0%	100%	0%	0%	33.3%	33.3%	0%	0%	33.3%	0%	0	0	0	3	0	3	0	0	2	2	3	3	2	3	Y	PRIVATE SCHOOL	SHORELINE SCHOOL DISTRICT	2800 NE 200TH ST	SHORELINE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-6	Y	Y
LOCHBURN MIDDLE SCHOOL	2015-16	186	74.7%	0%	25.3%	0%	0%	0%	0%	0%	76.3%	76.3%	98.9%	98.4%	98.9%	98.4%	139	0	47	0	0	0	0	0	44	44	2	3	2	3	Y	PUBLIC SCHOOL	CLOVER PARK SCHOOL DISTRICT	5431 STEILACOOM BLVD SW	LAKEWOOD	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
LOCKWOOD ELEMENTARY	2015-16	69	76.8%	0%	11.6%	11.6%	0%	11.6%	0%	0%	82.6%	82.6%	91.3%	89.9%	91.3%	87%	53	0	8	8	0	8	0	0	12	12	6	7	6	9	Y	PUBLIC SCHOOL	NORTHSHORE SCHOOL DISTRICT	24118 LOCKWOOD RD	BOTHELL	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
LOGAN ELEMENTARY	2015-16	52	88.5%	3.8%	0%	7.7%	1.9%	5.8%	0%	0%	94.2%	94.2%	94.2%	94.2%	98.1%	94.2%	46	2	0	4	1	3	0	0	3	3	3	3	1	3	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	1001 E MONTGOMERY AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
LONG BEACH ELEMENTARY SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	OCEAN BEACH SCHOOL DISTRICT	400 S WASHINGTON ST	LONG BEACH	PACIFIC	EDUCATIONAL SERVICE DISTRICT 112	K -6	Y	Y
LONGFELLOW ELEMENTARY	2015-16	45	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	45	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	PASCO SCHOOL DISTRICT	301 NORTH 10TH AVENUE	PASCO	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	K-6	Y	Y
LONGFELLOW ELEMENTARY	2015-16	74	86.5%	0%	0%	13.5%	8.1%	5.4%	0%	0%	95.9%	95.9%	95.9%	98.6%	97.3%	93.2%	64	0	0	10	6	4	0	0	3	3	3	1	2	5	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	800 E PROVIDENCE AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
LOON LAKE ELEMENTARY SCHOOL	2015-16	14	50%	0%	21.4%	28.6%	0%	28.6%	0%	0%	71.4%	71.4%	85.7%	85.7%	85.7%	78.6%	7	0	3	4	0	4	0	0	4	4	2	2	2	3	Y	PUBLIC SCHOOL	LOON LAKE SCHOOL DISTRICT	4001 MAPLE STREET	LOON LAKE	STEVENS	EDUCATIONAL SERVICE DISTRICT 101	PK-6	Y	Y
LOPEZ MIDDLE HIGH SCHOOL	2015-16	15	66.7%	0%	0%	33.3%	13.3%	20%	0%	0%	100%	100%	93.3%	80%	80%	93.3%	10	0	0	5	2	3	0	0	0	0	1	3	3	1	Y	PUBLIC SCHOOL	LOPEZ SCHOOL DISTRICT	86 SCHOOL ROAD	LOPEZ ISLAND	SAN JUAN	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-12	N	Y
LUCILLE UMBARGER ELEMENTARY	2015-16	81	74.1%	0%	21%	4.9%	0%	4.9%	1.2%	0%	75.3%	75.3%	95.1%	92.6%	96.3%	92.6%	60	0	17	4	0	4	1	0	20	20	4	6	3	6	Y	PUBLIC SCHOOL	BURLINGTON-EDISON SCHOOL DISTRICT	820 S SKAGIT ST	BURLINGTON	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -8	Y	Y
LUMMI TRIBAL ELEMENTARY SCHOOL	2015-16	21	57.1%	0%	33.3%	9.5%	4.8%	4.8%	0%	0%	61.9%	61.9%	100%	100%	100%	95.2%	12	0	7	2	1	1	0	0	8	8	0	0	0	1	Y	PUBLIC SCHOOL	LUMMI NATION SCHOOL	2334 LUMMI VIEW DR.	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -8	Y	Y
LYDIA HAWK ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	NORTH THURSTON PUBLIC SCHOOLS	7600 5TH AVE SE	LACEY	THURSTON	EDUCATIONAL SERVICE DISTRICT 113	PK-6	Y	Y
LYMAN ELEMENTARY SCHOOL	2015-16	28	82.1%	7.1%	0%	10.7%	0%	10.7%	0%	0%	92.9%	92.9%	100%	96.4%	96.4%	96.4%	23	2	0	3	0	3	0	0	2	2	0	1	1	1	Y	PUBLIC SCHOOL	SEDRO-WOOLLEY SCHOOL DISTRICT	PO BOX 1308	LYMAN	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
LYNDEN ACADEMY	2015-16	14	35.7%	0%	35.7%	28.6%	7.1%	14.3%	7.1%	0%	35.7%	35.7%	71.4%	78.6%	71.4%	71.4%	5	0	5	4	1	2	1	0	9	9	4	3	4	4	Y	PUBLIC SCHOOL	LYNDEN SCHOOL DISTRICT	200 S BC AVE STE 102	LYNDEN	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -12	Y	Y
LYNDEN CHRISTIAN SCHOOL, BELLINGHAM	2015-16	12	91.7%	0%	0%	8.3%	0%	8.3%	0%	0%	100%	100%	100%	100%	100%	91.7%	11	0	0	1	0	1	0	0	0	0	0	0	0	1	Y	PRIVATE SCHOOL	BELLINGHAM SCHOOL DISTRICT	567 E KELLOGG RD	BELLINGHAM	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-8	Y	Y
LYNDEN CHRISTIAN SCHOOLS	2015-16	79	96.2%	0%	0%	3.8%	0%	3.8%	0%	0%	97.5%	97.5%	97.5%	97.5%	97.5%	96.2%	76	0	0	3	0	3	0	0	2	2	2	2	2	3	Y	PRIVATE SCHOOL	LYNDEN SCHOOL DISTRICT	417 LYNCS DR	LYNDEN	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	P-12	Y	Y
LYNDEN MIDDLE SCHOOL	2015-16	205	80.5%	0%	12.2%	7.3%	2%	5.9%	0%	0%	85.4%	85.9%	94.1%	93.7%	93.7%	89.8%	165	0	25	15	4	12	0	0	30	29	12	13	13	21	Y	PUBLIC SCHOOL	LYNDEN SCHOOL DISTRICT	516 MAIN ST	LYNDEN	WHATCOM	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	6-8	N	Y
LYNNDALE ELEMENTARY	2015-16	59	91.5%	0%	5.1%	3.4%	1.7%	1.7%	0%	0%	91.5%	91.5%	100%	100%	100%	100%	54	0	3	2	1	1	0	0	5	5	0	0	0	0	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	7200 191ST PL SW	LYNNWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
LYNNWOOD ELEMENTARY	2015-16	93	80.6%	0%	14%	5.4%	0%	5.4%	0%	0%	83.9%	84.9%	95.7%	95.7%	96.8%	95.7%	75	0	13	5	0	5	0	0	15	14	4	4	3	4	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	18638 44TH AVE W	LYNNWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
MACHIAS ELEMENTARY	2015-16	78	82.1%	0%	11.5%	6.4%	0%	6.4%	0%	0%	82.1%	82.1%	93.6%	94.9%	94.9%	93.6%	64	0	9	5	0	5	0	0	14	14	5	4	4	5	Y	PUBLIC SCHOOL	SNOHOMISH SCHOOL DISTRICT	231 14TH AVENUE SE	SNOHOMISH	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
MADISON ELEMENTARY	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	MOUNT VERNON SCHOOL DISTRICT	907 E FIR ST	MOUNT VERNON	SKAGIT	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
MADISON ELEMENTARY	2015-16	40	92.5%	0%	2.5%	5%	0%	5%	0%	0%	92.5%	92.5%	95%	95%	92.5%	95%	37	0	1	2	0	2	0	0	3	3	2	2	3	2	Y	PUBLIC SCHOOL	SPOKANE SCHOOL DISTRICT	319 W NEBRASKA AVE	SPOKANE	SPOKANE	EDUCATIONAL SERVICE DISTRICT 101	K -6	Y	Y
MADISON MIDDLE SCHOOL	2015-16	250	80%	0%	12%	8%	3.6%	4.8%	0.4%	0%	84.4%	84.4%	94.8%	94%	94.8%	92.8%	200	0	30	20	9	12	1	0	39	39	13	15	13	18	Y	PUBLIC SCHOOL	SEATTLE PUBLIC SCHOOLS	3429 45 AVE SW	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MADRONA ELEMENTARY	2015-16	71	94.4%	5.6%	0%	0%	0%	0%	0%	0%	94.4%	94.4%	100%	100%	100%	100%	67	4	0	0	0	0	0	0	4	4	0	0	0	0	Y	PUBLIC SCHOOL	HIGHLINE SCHOOL DISTRICT	20301 32ND AVENUE SOUTH	SEATAC	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
MADRONA K-8 SCHOOL	2015-16	31	64.5%	0%	32.3%	3.2%	3.2%	0%	0%	0%	64.5%	64.5%	96.8%	96.8%	96.8%	96.8%	20	0	10	1	1	0	0	0	11	11	1	1	1	1	Y	PUBLIC SCHOOL	SEATTLE PUBLIC SCHOOLS	1121 33 AV	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-8	Y	Y
MADRONA NONGRADED	2015-16	73	79.5%	0%	15.1%	5.5%	0%	5.5%	0%	0%	83.6%	83.6%	94.5%	98.6%	97.3%	97.3%	58	0	11	4	0	4	0	0	12	12	4	1	2	2	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	9300 236TH ST SW	EDMONDS	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	PK-8	Y	Y
MADRONA SCHOOL	2015-16	13	38.5%	0%	0%	61.5%	0%	61.5%	0%	0%	69.2%	69.2%	46.2%	61.5%	61.5%	46.2%	5	0	0	8	0	8	0	0	4	4	7	5	5	7	Y	PRIVATE SCHOOL	BAINBRIDGE ISLAND SCHOOL DISTRICT	219 MADISON AVE N	BAINBRIDGE ISLAND	KITSAP	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
MAKKAH ISLAMIC SCHOOL	2015-16	13	76.9%	0%	0%	23.1%	0%	0%	23.1%	0%	76.9%	76.9%	76.9%	76.9%	76.9%	76.9%	10	0	0	3	0	0	3	0	3	3	3	3	3	3	Y	PRIVATE SCHOOL	SEATTLE PUBLIC SCHOOLS	3613 S JUNEAU ST	SEATTLE	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	P-8	Y	Y
MANCHESTER ELEMENTARY SCHOOL	2015-16	44	93.2%	0%	0%	6.8%	0%	6.8%	0%	0%	95.5%	97.7%	93.2%	93.2%	95.5%	93.2%	41	0	0	3	0	3	0	0	2	1	3	3	2	3	Y	PUBLIC SCHOOL	SOUTH KITSAP SCHOOL DISTRICT	1901 CALIFORNIA AVE E	PORT ORCHARD	KITSAP	OLYMPIC EDUCATIONAL SERVICE DISTRICT 114	K -6	Y	Y
MANN MIDDLE SCHOOL	2015-16	139	88.5%	0%	10.1%	1.4%	0.7%	0.7%	0%	0%	89.2%	89.9%	97.8%	98.6%	97.8%	99.3%	123	0	14	2	1	1	0	0	15	14	3	2	3	1	Y	PUBLIC SCHOOL	CLOVER PARK SCHOOL DISTRICT	11509 HOLDEN RD SW	LAKEWOOD	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	6-8	N	Y
MANSFIELD ELEM AND HIGH SCHOOL	2015-16	10	80%	0%	20%	0%	0%	0%	0%	0%	80%	80%	100%	100%	100%	100%	8	0	2	0	0	0	0	0	2	2	0	0	0	0	Y	PUBLIC SCHOOL	MANSFIELD SCHOOL DISTRICT	P.O. BOX 188	MANSFIELD	DOUGLAS	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	PK-12	Y	Y
MANSON MIDDLE HIGH SCHOOL	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	MANSON SCHOOL DISTRICT	PO BOX A	MANSON	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	6-12	N	Y
MANSON MIDDLE SCHOOL	2015-16	51	74.5%	2%	21.6%	2%	0%	2%	0%	0%	78.4%	80.4%	94.1%	96.1%	96.1%	92.2%	38	1	11	1	0	1	0	0	11	10	3	2	2	4	Y	PUBLIC SCHOOL	MANSON SCHOOL DISTRICT	1000 TOTEM POLE RD	MANSON	CHELAN	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	6-8	N	Y
MAPLE GROVE K-8	2015-16	41	63.4%	2.4%	24.4%	9.8%	0%	7.3%	2.4%	0%	70.7%	70.7%	90.2%	95.1%	95.1%	90.2%	26	1	10	4	0	3	1	0	12	12	4	2	2	4	Y	PUBLIC SCHOOL	BATTLE GROUND SCHOOL DISTRICT	PO BOX 200	BATTLE GROUND	CLARK	EDUCATIONAL SERVICE DISTRICT 112	K-8	Y	Y
MAPLEWOOD CENTER	2015-16	0	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0%	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	20100 84TH AVE W	EDMONDS	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -12	Y	Y
MAPLEWOOD ELEMENTARY	2015-16	54	90.7%	0%	0%	9.3%	1.9%	7.4%	0%	0%	96.3%	94.4%	98.1%	94.4%	96.3%	92.6%	49	0	0	5	1	4	0	0	2	3	1	3	2	4	Y	PUBLIC SCHOOL	PUYALLUP SCHOOL DISTRICT	1110 W PIONEER	PUYALLUP	PIERCE	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
MARIE CURIE STEM ELEMENTARY	2015-16	178	100%	0%	0%	0%	0%	0%	0%	0%	100%	100%	100%	100%	100%	100%	178	0	0	0	0	0	0	0	0	0	0	0	0	0	Y	PUBLIC SCHOOL	PASCO SCHOOL DISTRICT	715 N CALIFORNIA	PASCO	FRANKLIN	EDUCATIONAL SERVICE DISTRICT 123	3-6	N	Y
MARLIN HUTTERITE SCHOOL	2015-16																														N	PRIVATE SCHOOL	WILSON CREEK SCHOOL DISTRICT	21344 RD 18 NE	WARDEN	GRANT	NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171	P-12	Y	Y
MARTHA LAKE ELEMENTARY	2015-16	96	88.5%	1%	3.1%	7.3%	1%	6.3%	0%	0%	95.8%	96.9%	95.8%	95.8%	94.8%	90.6%	85	1	3	7	1	6	0	0	4	3	4	4	5	9	Y	PUBLIC SCHOOL	EDMONDS SCHOOL DISTRICT	17500 LARCH WAY	LYNNWOOD	SNOHOMISH	NORTHWEST EDUCATIONAL SERVICE DISTRICT 189	K -6	Y	Y
MARTIN SORTUN ELEMENTARY SCHOOL	2015-16	80	86.3%	0%	13.8%	0%	0%	0%	0%	0%	86.3%	87.5%	98.8%	98.8%	98.8%	98.8%	69	0	11	0	0	0	0	0	11	10	1	1	1	1	Y	PUBLIC SCHOOL	KENT SCHOOL DISTRICT	12711 SE 248TH ST	KENT	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	K -6	Y	Y
MARVISTA ELEMENTARY	2015-16	84	96.4%	1.2%	0%	2.4%	1.2%	1.2%	0%	0%	98.8%	98.8%	98.8%	100%	100%	97.6%	81	1	0	2	1	1	0	0	1	1	1	0	0	2	Y	PUBLIC SCHOOL	HIGHLINE SCHOOL DISTRICT	19800 MARINE VIEW DR SW	NORMANDY PARK	KING	PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121	PK-6	Y	Y
MARY M KNIGHT ELEMENTARY	2015-16	14	14.3%	0%	64.3%	21.4%	0%	7.1%	14.3%	0%	28.6%	28.6%	85.7%	85.7%	78.6%	71.4%	2	0	9	3	0	1	2	0	10	10	2	2	3	4	Y	PUBLIC SCHOOL	MARY M KNIGHT SCHOOL DISTRICT	1500 W BEEVILLE LOOP RD	ELMA	GRAYS HARBOR	EDUCATIONAL SERVICE DISTRICT 113	PK-6	Y	Y
